 x,y,velocity
0.780227556,0.258457672,9.021754104
0.769439793,0.31197713,9.015956328
0.730512348,0.35428467,9.013215205
0.637480952,0.664258043,9.014419937
0.658244437,0.614422004,9.012341144
0.702137324,0.417257449,9.011418961
0.673583703,0.565919669,9.011183066
0.70656685,0.474007134,9.010895085
0.68895556,0.520726804,9.010819457
1.020283979,0.030833852,9.261564197
1.052631574,0.017867539,9.264730834
0.921277264,0.101820086,9.088464372
0.883647783,0.123169753,9.071355783
0.877257581,0.173123636,9.044857794
0.95746127,0.073634731,9.118511921
1.010065785,0.04804277,9.166886415
0.992488954,0.066754484,9.130182577
0.907135931,0.969353614,9.245796669
0.912289307,0.982657931,9.249617396
0.673866818,0.712852121,9.01834431
0.706081058,0.766161362,9.027329053
0.733859222,0.821810899,9.04228309
0.773792187,0.843461161,9.050858696
0.876725699,0.954184083,9.166465985
0.857879752,0.930844577,9.119338563
0.802858586,0.878877202,9.070302685
0.832623228,0.904326706,9.090943681
0.838148912,0.228474036,9.026957745
0.818803202,0.302264446,9.016802049
0.793739532,0.3541003,9.013458144
